,cmte_nm,transaction_amt
145,THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE),80.0
144,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,73.0
113,O'CONNOR FOR CONGRESS,70.0
93,MARK KELLY FOR SENATE,70.0
65,GENENTECH INC. POLITICAL ACTION COMMITTEE,60.0
9,"ANTHEM, INC. POLITICAL ACTION COMMITTEE (ANTHEM PAC)",60.0
154,WIN THE ERA PAC,60.0
8,AMY FOR AMERICA,60.0
118,PRC PAC,58.0
43,DUNCAN D. HUNTER FOR CONGRESS,55.0
64,GAVIN CLARKSON FOR SENATE,54.0
2,ALEX MOONEY FOR CONGRESS,53.0
134,SINGH FOR CONGRESS,52.0
4,AMERICAN CONSERVATIVE UNION,50.0
131,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,50.0
10,ARIZONA DEMOCRATIC PARTY,50.0
46,"ELIZABETH WARREN PRESIDENTIAL EXPLORATORY COMMITTEE, INC.",50.0
114,OMAR NAVARRO FOR CONGRESS,50.0
59,FRIENDS OF MIA LOVE PAC,50.0
102,MOVEON.ORG POLITICAL ACTION,46.0
115,PAM KEITH FOR CONGRESS,45.0
26,CONSERVATIVE CAMPAIGN COMMITTEE,45.0
75,JESSICA MORSE FOR CONGRESS,45.0
132,SENATE CONSERVATIVES FUND,45.0
48,END CITIZENS UNITED,40.0
68,"HDR, INC. POLITICAL ACTION COMMITTEE",40.0
66,GENESIS HEALTHCARE INC PAC,40.0
151,"WARREN DEMOCRATS, INC.",40.0
35,DEMOCRATIC ACTION,35.0
98,MCSALLY FOR CONGRESS,35.0
74,JEFF DOVE FOR CONGRESS,35.0
63,FRIENDS OF SHERROD BROWN,35.0
86,LAW ENFORCEMENT FOR A SAFER AMERICA PAC,35.0
27,CORY 2020,30.0
81,KAMALA HARRIS FOR SENATE,28.0
116,PEOPLE FOR BEN,26.0
45,"ELIZABETH FOR MA, INC",25.0
61,FRIENDS OF PAT TOOMEY,25.0
110,NICHOLSON FOR SENATE,25.0
77,"JOHN JAMES FOR SENATE, INC.",25.0
130,SCOTT TAYLOR FOR CONGRESS,25.0
70,HIRAL FOR CONGRESS,22.0
106,NATIONAL ELEVATOR CONSTRUCTORS PAC/ INTN'L  UNION OF ELEVATOR CONSTRUCTORS (NEC PAC),20.0
72,IHEARTMEDIA INC. PAC,20.0
23,"CLEAR CHANNEL OUTDOOR, LLC. PAC",20.0
150,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,20.0
97,MCCASKILL FOR MISSOURI,20.0
7,AMERIPAC: THE FUND FOR A GREATER AMERICA,14.0
90,MAD DOG PAC,10.0
67,GREAT AMERICA PAC,5.0
51,"FLOWERS FOODS, INC. POLITICAL ACTION COMMITTEE",5.0
52,FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,5.0
78,JOHN KINGSTON FOR SENATE INC,0.0
